CountryID,Country,Occurrence,Total deaths,Persons affected,Continent,Type of disaster,Decade
800,Uganda,3,120,168700,Africa,Hydrological,1990-1999
826,UK,8,17,1930,Europe,Hydrological,1990-1999
804,Ukraine,6,27,2059570,Europe,Hydrological,1990-1999
784,United Arab Emirates,,,,Asia,Hydrological,1990-1999
858,Uruguay,3,1,15500,South America,Hydrological,1990-1999
840,USA,52,382,648334,North America,Hydrological,1990-1999
860,Uzbekistan,1,24,0,Asia,Hydrological,1990-1999
548,Vanuatu,,,,Oceania,Hydrological,1990-1999
862,Venezuela,8,30052,613521,South America,Hydrological,1990-1999
704,Vietnam,17,2237,7442332,Asia,Hydrological,1990-1999
887,Yemen,7,446,317700,Asia,Hydrological,1990-1999
894,Zambia,1,0,1300000,Africa,Hydrological,1990-1999
716,Zimbabwe,1,36,0,Africa,Hydrological,1990-1999
4,Afghanistan,3,234,200,Asia,Meteorological,1990-1999
8,Albania,,,,Europe,Meteorological,1990-1999
12,Algeria,,,,Africa,Meteorological,1990-1999
